EPNUM,EPID,Season,Episode,Name,Date,Length,Live
1,S01E001,1,1,Hello from the Magic Tavern,2015-03-09,16:52,0
2,S01E002,1,2,Tom the Traveler,2015-03-17,24:58,0
3,S01E003,1,3,Flower,2015-03-23,24:00,0
4,S01E004,1,4,The FML,2015-03-30,29:42,0
5,S01E005,1,5,Foon's Greatest Swordsman,2015-04-06,23:30,0
6,S01E006,1,6,The Vermilion Minotaur,2015-04-13,24:06,0
7,S01E007,1,7,Princess Trachea-Aurelia Belaroth,2015-04-20,23:54,0
8,S01E008,1,8,Pimbly Nimblebottom,2015-04-27,29:30,0
9,S01E009,1,9,Goblins,2015-05-04,31:49,0
10,S01E010,1,10,Homesick,2015-05-11,17:28,0
11,S01E011,1,11,The Eunuch,2015-05-18,32:15,0
12,S01E012,1,12,Krom the Barbarian,2015-05-27,30:03,0
13,S01E013,1,13,Boys' Night,2015-06-01,36:46,0
14,S01E014,1,14,Music of Foon,2015-06-09,33:27,0
15,S01E015,1,15,Transdimensional Deliveryman,2015-06-15,29:06,0
16,S01E016,1,16,Spintax the Green,2015-06-22,34:53,0
17,S01E017,1,17,D'athaniel Quen'yarvin,2015-06-29,33:10,0
18,S01E018,1,18,Blemish,2015-07-06,31:46,0
19,S01E019,1,19,The Namer,2015-07-13,27:14,0
20,S01E020,1,20,The Wedding Planner,2015-07-21,32:48,0
21,S01E021,1,21,No Arnie,2015-07-27,27:43,0
22,S01E022,1,22,Sarah,2015-08-03,30:38,0
23,S01E023,1,23,Soul Walker,2015-08-10,32:32,0
24,S01E024,1,24,The Plan,2015-08-17,33:09,0
25,S01E025,1,25,Eagles,2015-08-24,30:12,0
26,S01E026,1,26,Hunger Ghost,2015-09-01,33:31,0
27,S01E027,1,27,Not Dead (Live from Jangleheart Circus),2015-09-08,33:07,1
28,S01E028,1,28,Forever Girl,2015-09-14,30:06,0
29,S01E029,1,29,The Scholar (Live from XOXO 2015),2015-09-21,43:51,1
30,S01E030,1,30,The Midwife,2015-09-28,34:26,0
31,S01E031,1,31,Bridge Troll,2015-10-06,32:47,0
32,S01E032,1,32,Offices & Bosses,2015-10-12,37:35,0
33,S01E033,1,33,Spurt the Elder,2015-10-19,33:15,0
34,S01E034,1,34,Chunt for Red October,2015-10-26,35:27,0
35,S01E035,1,35,Earth Stuff,2015-11-02,39:50,0
36,S01E036,1,36,Low Battery,2015-11-09,23:19,0
37,S01E037,1,37,Tannakin the Pinglet,2015-11-16,33:31,0
38,S01E038,1,38,Letters,2015-11-23,38:21,0
39,S01E039,1,39,Can the Wizard,2015-11-30,27:02,0
40,S01E040,1,40,Chu Chu's Chow,2015-12-07,33.27,0
41,S01E041,1,41,Skeleton,2015-12-14,37:13,0
42,S01E042,1,42,Winter Solstice,2015-12-21,45:25,0
43,S01BON1,1,Bonus 1,Winter Solstice Bonus,2015-12-28,4:30,0
44,S01E043,1,43,Sharks,2016-01-04,37:49,0
45,S01E044,1,44,Arnor the Warrior,2016-01-11,34:45,0
46,S01E045,1,45,The First Jew of Foon,2016-01-18,33:10,0
47,S01E046,1,46,Assassin,2016-01-25,34:56,0
48,S01E047,1,47,Otok's Quest,2016-02-01,34:11,0
49,S01E048,1,48,DQ Returns,2016-02-08,37:38,0
50,S01E049,1,49,Princess Phillipa,2016-02-15,36:37,0
51,S01E050,1,50,Larry Birdman,2016-02-22,34:44,0
52,S01E051,1,51,Baron Ragoon,2016-02-29,39:51,0
53,S01E052,1,52,One Year,2016-03-08,38:02,0
54,S01E053,1,53,Tom the Nominee,2016-03-14,35:23,0
55,S01E054,1,54,Witch,2016-03-21,36:59,0
56,S01E055,1,55,Homunculus,2016-03-28,36:19,0
57,S01E056,1,56,Dungeon Guard,2016-04-03,34:11,0
58,S01E057,1,57,Dreamclimber,2016-04-12,32:31,0
59,S01E058,1,58,Keeper of the Doom Horn,2016-04-18,32:59,0
60,S01E059,1,59,Dr. Ward,2016-04-25,37:21,0
61,S01E060,1,60,Confidential Courier,2016-05-02,42:16,0
62,S01E061,1,61,Sheriff,2016-05-09,42:57,0
63,S01E062,1,62,The Healer (Live from PAX East,2016-05-16,39:23,1
64,S01E063,1,63,The Singing Sword,2016-05-23,38:41,0
65,S01E064,1,64,Jamillious the Mauve,2016-05-30,39:33,0
66,S01E065,1,65,Dancer,2016-06-06,33:29,0
67,S01E066,1,66,The Curse,2016-06-13,34:11,0
68,S01E067,1,67,Ooze,2016-06-20,28:48,0
69,S01E068,1,68,The Princess and the Eunuch,2016-06-27,37:05,0
70,S01E069,1,69,Halfling Bards,2016-07-04,42:54,0
71,S01E070,1,70,Goblin Queen,2016-07-11,35:47,0
72,S01E071,1,71,Two Headed Conjoined Fairy Princess (Live from Stage 773 in Chicago),2016-07-18,42:32,1
73,S01E072,1,72,Last of the Singled Out Folk,2016-07-25,37:04,0
74,S01E073,1,73,Chunt's Night (Live from Stage 773),2016-08-01,44:41,1
75,S01E074,1,74,Letters and Packages,2016-08-08,34:35,0
76,S01E075,1,75,Make-Up Artist,2016-08-15,29:42,0
77,S01E076,1,76,Pandenomicon,2016-08-22,44:18,0
78,S01E077,1,77,The Baron and the Frog,2016-08-29,51:20,0
79,S01E078,1,78,The Bandit King (Live from the Steppenwolf Theater in Chicago),2016-09-05,41:50,1
80,S01E079,1,79,Real Estate Agent,2016-09-12,37:12,0
81,S01E080,1,80,Inta and Nerf,2016-09-19,42:52,0
82,S01INT1,1,Interlude 1,INTERLUDE - Mirror World,2016-09-26,38:38,0
83,S01E081,1,81,Siren,2016-10-03,37:01,0
84,S01E082,1,82,Chunt for Red October 2: Clear and Present Badger,2016-10-10,33:08,0
85,S01E083,1,83,Tree,2016-10-17,33:32,0
86,S01E084,1,84,Memory Gremlin,2016-10-24,38:29,0
87,S01E085,1,85,Unicorn (w/ Peter Sagal),2016-10-31,40:31,0
88,S01E086,1,86,Overworked Fairy,2016-11-07,40:02,0
89,S01E087,1,87,"Missing Fathers (Live from Now Hear This in Anaheim, CA)",2016-11-14,1:01:21,1
90,S01E088,1,88,Dragonborn,2016-11-21,37:55,0
91,S01E089,1,89,Jyn'Leeviyah the Red (w/ Felicia Day),2016-11-28,43:22,0
92,S01E090,1,90,Dwarf (w/ Jon Gabrus),2016-12-05,41:24,0
